date,close
2014-07-02,1.36595
2014-07-03,1.3610200000000001
2014-07-04,1.35944
2014-07-07,1.36045
2014-07-08,1.36116
2014-07-09,1.36415
2014-07-10,1.3608799999999999
2014-07-11,1.36079
2014-07-14,1.3619
2014-07-15,1.35697
2014-07-16,1.35258
2014-07-17,1.3526
2014-07-18,1.3524100000000001
2014-07-21,1.35236
2014-07-22,1.34656
2014-07-23,1.3463399999999999
2014-07-24,1.34629
2014-07-25,1.34307
2014-07-28,1.34392
2014-07-29,1.34087
2014-07-30,1.33964
2014-07-31,1.33893
2014-08-01,1.34296
2014-08-04,1.3421299999999998
2014-08-05,1.33759
2014-08-06,1.3382399999999999
2014-08-07,1.3363200000000002
2014-08-08,1.34105
2014-08-11,1.33844
2014-08-12,1.33685
2014-08-13,1.33636
2014-08-14,1.33648
2014-08-15,1.33999
2014-08-18,1.33635
2014-08-19,1.33202
2014-08-20,1.32598
2014-08-21,1.32812
2014-08-22,1.32419
2014-08-25,1.3192
2014-08-26,1.31674
2014-08-27,1.31928
2014-08-28,1.31821
2014-08-29,1.31324
2014-09-01,1.3128600000000001
2014-09-02,1.31334
2014-09-03,1.31502
2014-09-04,1.29427
2014-09-05,1.29519
2014-09-08,1.28951
2014-09-09,1.29389
2014-09-10,1.29165
2014-09-11,1.2923
2014-09-12,1.29636
2014-09-15,1.2940200000000002
2014-09-16,1.2959399999999999
2014-09-17,1.28651
2014-09-18,1.2922
2014-09-19,1.28277
2014-09-22,1.2848899999999999
2014-09-23,1.2848700000000002
2014-09-24,1.27804
2014-09-25,1.2750700000000001
2014-09-26,1.26829
2014-09-29,1.26873
2014-09-30,1.26312
2014-10-01,1.26241
2014-10-02,1.2668
2014-10-03,1.2514399999999999
2014-10-06,1.26545
2014-10-07,1.2669
2014-10-08,1.27344
2014-10-09,1.26912
2014-10-10,1.26285
2014-10-13,1.27498
2014-10-14,1.26591
2014-10-15,1.28373
2014-10-16,1.28092
2014-10-17,1.27594
2014-10-20,1.27997
2014-10-21,1.27158
2014-10-22,1.26463
2014-10-23,1.26468
2014-10-24,1.2670299999999999
2014-10-27,1.2699
2014-10-28,1.27347
2014-10-29,1.2632
2014-10-30,1.26126
2014-10-31,1.2524
2014-11-03,1.2480799999999999
2014-11-04,1.25458
2014-11-05,1.2485600000000001
2014-11-06,1.23749
2014-11-07,1.2454399999999999
2014-11-10,1.24201
2014-11-11,1.24735
2014-11-12,1.24381
2014-11-13,1.24753
2014-11-14,1.25241
2014-11-17,1.24502
2014-11-18,1.25363
2014-11-19,1.25535
2014-11-20,1.25394
2014-11-21,1.2389
2014-11-24,1.2441200000000001
2014-11-25,1.24736
2014-11-26,1.2505600000000001
2014-11-27,1.24671
2014-11-28,1.2451299999999998
2014-12-01,1.2469
2014-12-02,1.23823
2014-12-03,1.23106
2014-12-04,1.23795
2014-12-05,1.22835
2014-12-08,1.23174
2014-12-09,1.23736
2014-12-10,1.24475
2014-12-11,1.24116
2014-12-12,1.24606
2014-12-15,1.24367
2014-12-16,1.25099
2014-12-17,1.23425
2014-12-18,1.2286
2014-12-19,1.22304
2014-12-22,1.2231299999999998
2014-12-23,1.21725
2014-12-24,1.22011
2014-12-26,1.21791
2014-12-29,1.21555
2014-12-30,1.2155799999999999
2014-12-31,1.20973
2015-01-02,1.20013
2015-01-05,1.19331
2015-01-06,1.18902
2015-01-07,1.18391
2015-01-08,1.17937
2015-01-09,1.18423
2015-01-12,1.1834
2015-01-13,1.17721
2015-01-14,1.17878
2015-01-15,1.1632
2015-01-16,1.1561700000000001
2015-01-19,1.1605299999999998
2015-01-20,1.15498
2015-01-21,1.16098
2015-01-22,1.1365100000000001
2015-01-23,1.1205
2015-01-26,1.12374
2015-01-27,1.13801
2015-01-28,1.12865
2015-01-29,1.1318700000000002
2015-01-30,1.12848
2015-02-02,1.13406
2015-02-03,1.14799
2015-02-04,1.13402
2015-02-05,1.1477700000000002
2015-02-06,1.13139
2015-02-09,1.13239
2015-02-10,1.13182
2015-02-11,1.13331
2015-02-12,1.14031
2015-02-13,1.1388200000000002
2015-02-16,1.13529
2015-02-17,1.1411
